	OverallCond	RoofMatl	Exterior1st	Exterior2nd	MasVnrType	ExterQual	ExterCond	Heating	HeatingQC	CentralAir	Electrical	KitchenQual	Functional	Fireplaces	GarageQual	GarageCond	Utilities	SalePrice
241	9	CompShg	VinylSd	VinylSd	None	3	2	GasA	2	1	SBrkr	2	6	0	5	5	0	110500
242	4	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	0	FuseA	3	6	0	1	4	0	79000
243	6	CompShg	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	120000
244	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	2	4	4	0	205000
245	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	241500
246	8	CompShg	AsbShng	AsbShng	None	3	1	GasA	2	0	FuseP	1	6	0	3	3	0	137000
247	5	CompShg	Wd Sdng	BrkFace	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	140000
248	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	180000
249	7	CompShg	Wd Sdng	HdBoard	BrkCmn	2	4	GasA	2	1	SBrkr	2	6	2	4	4	0	277000
250	2	CompShg	Wd Sdng	Plywood	None	3	3	GasA	0	1	SBrkr	1	4	0	5	5	0	76500
251	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	235000
252	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	173000
253	7	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	0	1	SBrkr	2	2	0	4	4	0	158000
254	6	CompShg	MetalSd	MetalSd	None	3	2	GasA	4	1	SBrkr	3	6	0	4	4	0	145000
255	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	230000
256	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	207500
257	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	220000
258	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	231500
259	5	CompShg	BrkFace	BrkFace	None	3	4	GasA	2	1	FuseA	3	6	0	4	4	0	97000
260	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	176000
261	5	CompShg	CemntBd	CmentBd	Stone	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	276000
262	7	CompShg	HdBoard	Plywood	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	151000
263	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	130000
264	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	0	FuseP	3	6	0	4	4	0	73000
265	6	CompShg	MetalSd	MetalSd	BrkFace	3	2	GasA	4	1	SBrkr	2	6	1	4	4	0	175500
266	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	185000
267	8	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	179500
268	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	1	0	0	0	120500
269	7	CompShg	HdBoard	HdBoard	BrkFace	3	2	GasA	4	1	SBrkr	3	6	1	4	2	0	148000
270	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	266000
271	7	Membran	Plywood	Plywood	None	3	4	GasA	0	1	SBrkr	3	4	2	4	4	0	241500
272	7	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	290000
273	6	CompShg	Wd Sdng	Wd Sdng	BrkCmn	3	4	GasA	2	1	SBrkr	3	2	1	4	4	0	139000
274	7	CompShg	HdBoard	ImStucc	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	124500
275	7	CompShg	Wd Sdng	Wd Sdng	None	2	2	GasW	2	0	SBrkr	0	6	0	4	4	0	205000
276	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	201000
277	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	141000
278	5	CompShg	CemntBd	CmentBd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	415298
279	5	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	192000
280	6	CompShg	Plywood	Plywood	BrkFace	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	228500
281	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	2	1	SBrkr	2	6	0	4	4	0	185000
282	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	207500
283	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	244600
284	5	CompShg	Plywood	ImStucc	None	2	4	GasA	2	1	SBrkr	2	6	0	4	4	0	179200
285	5	CompShg	MetalSd	MetalSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	164700
286	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	2	6	1	4	4	0	159000
287	4	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	0	5	5	0	88000
288	5	CompShg	MetalSd	MetalSd	BrkFace	3	2	GasA	4	1	SBrkr	3	6	0	4	4	0	122000
289	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	FuseA	3	6	0	4	4	0	153575
290	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	2	4	0	233230
291	6	CompShg	VinylSd	VinylSd	None	3	1	GasA	0	0	SBrkr	1	6	0	5	5	0	135900
292	4	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	1	SBrkr	3	3	1	4	4	0	131000
293	7	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	1	1	SBrkr	2	6	1	4	4	0	235000
294	5	CompShg	HdBoard	HdBoard	Stone	3	4	GasA	4	1	SBrkr	3	6	2	4	4	0	167000
295	6	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	142500
296	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	FuseA	3	6	0	4	4	0	152000
297	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	239000
298	6	CompShg	HdBoard	AsphShn	BrkFace	2	4	GasA	2	1	SBrkr	3	6	1	4	4	0	175000
299	8	CompShg	HdBoard	HdBoard	None	3	2	GasA	0	1	SBrkr	2	6	1	4	4	0	158500
300	5	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	4	1	SBrkr	3	6	2	4	4	0	157000
301	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	267000
302	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	205000
303	7	CompShg	VinylSd	VinylSd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	149900
304	9	CompShg	CemntBd	CmentBd	None	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	295000
305	5	CompShg	CemntBd	CmentBd	Stone	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	305900
306	5	CompShg	HdBoard	Plywood	BrkFace	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	225000
307	7	CompShg	MetalSd	MetalSd	None	3	1	GasA	4	1	FuseA	1	6	0	5	5	0	89500
308	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	82500
309	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	0	6	3	4	4	0	360000
310	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	2	6	1	4	4	0	165600
311	6	CompShg	VinylSd	VinylSd	None	3	2	GasA	0	1	SBrkr	3	6	1	4	4	0	132000
312	7	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	119900
313	5	CompShg	BrkFace	BrkFace	None	3	4	GasW	4	1	SBrkr	3	6	2	4	4	0	375000
314	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	SBrkr	0	6	1	1	4	0	178000
315	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	188500
316	7	CompShg	CemntBd	CmentBd	BrkFace	2	4	GasA	4	1	SBrkr	0	6	1	4	4	0	260000
317	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	270000
318	5	CompShg	HdBoard	HdBoard	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	260000
319	5	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	4	1	SBrkr	3	6	2	4	4	0	187500
320	5	CompShg	VinylSd	VinylSd	Stone	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	342643
321	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	354000
322	5	CompShg	Plywood	Plywood	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	301000
323	8	CompShg	VinylSd	VinylSd	None	3	2	GasA	0	1	SBrkr	3	6	0	1	4	0	126175
324	7	WdShake	Wd Sdng	Wd Sdng	BrkFace	2	2	GasA	0	1	SBrkr	2	6	1	4	4	0	242000
325	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	3	0	FuseF	3	6	0	4	4	0	87000
326	5	CompShg	BrkFace	BrkFace	None	2	4	GasA	0	1	SBrkr	2	6	2	4	4	0	324000
327	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	145250
328	6	CompShg	Wd Sdng	Wd Shng	None	3	4	GasA	2	0	FuseA	2	6	0	4	4	0	214500
329	5	CompShg	Wd Sdng	Wd Shng	None	3	4	GasA	4	0	SBrkr	3	6	0	1	1	0	78000
330	4	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	119000
331	6	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	1	1	SBrkr	3	6	0	4	4	0	139000
332	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	284000
333	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	207000
334	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	2	1	SBrkr	3	6	2	4	4	0	192000
335	6	CompShg	Plywood	Plywood	None	3	4	GasA	0	1	SBrkr	3	6	2	4	4	0	228950
336	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	377426
337	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	214000
338	7	CompShg	Wd Sdng	Wd Sdng	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	202500
339	7	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	4	1	FuseA	3	6	0	4	4	0	155000
340	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	202900
341	4	CompShg	Wd Sdng	AsbShng	None	1	1	GasA	2	1	SBrkr	3	6	0	4	4	0	82000
342	4	CompShg	Stucco	Stucco	BrkFace	3	4	Wall	1	0	FuseA	3	6	0	4	4	0	87500
343	5	CompShg	MetalSd	MetalSd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	266000
344	3	CompShg	CemntBd	CmentBd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	85000
345	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	1	6	1	4	4	0	140200
346	8	CompShg	MetalSd	MetalSd	None	3	2	GasA	4	1	SBrkr	3	6	0	4	4	0	151500
347	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	0	1	FuseA	3	6	2	4	4	0	157500
348	5	CompShg	VinylSd	Wd Shng	Stone	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	154000
349	5	CompShg	CemntBd	CmentBd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	2	4	4	0	437154
350	5	CompShg	MetalSd	MetalSd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	318061
351	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	1	SBrkr	2	6	1	4	4	0	190000
352	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	4	0	SBrkr	3	6	0	4	1	0	95000
353	8	CompShg	VinylSd	VinylSd	None	3	2	GasA	2	1	SBrkr	3	6	0	4	4	0	105900
354	5	CompShg	Wd Sdng	MetalSd	None	3	4	GasA	0	1	SBrkr	3	6	2	4	4	0	140000
355	5	CompShg	VinylSd	VinylSd	None	2	2	GasA	0	1	SBrkr	2	6	0	4	4	0	177500
356	6	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	2	6	0	4	4	0	173000
357	5	CompShg	CemntBd	CmentBd	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	134000
358	4	CompShg	Wd Sdng	ImStucc	BrkFace	3	4	GasA	0	1	FuseF	2	3	0	4	4	0	130000
359	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	280000
360	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	156000
361	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	3	6	0	4	4	0	145000
362	5	CompShg	HdBoard	HdBoard	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	198500
363	8	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	2	6	0	4	4	0	118000
364	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	190000
365	7	CompShg	VinylSd	VinylSd	None	3	2	GasA	2	1	FuseA	3	6	0	4	1	0	147000
366	5	CompShg	Plywood	Plywood	BrkFace	3	4	GasA	2	1	SBrkr	3	6	2	4	4	0	159000
367	5	Tar&Grv	Plywood	Plywood	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	165000
368	6	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	132000
369	7	CompShg	Wd Sdng	Wd Sdng	None	3	2	GasA	0	1	SBrkr	2	6	1	4	4	0	162000
370	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	172400
371	4	CompShg	WdShing	Plywood	None	3	4	GasA	4	1	SBrkr	3	3	1	4	4	0	134432
372	5	CompShg	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	125000
373	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	3	0	4	4	0	123000
374	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	219500
375	1	CompShg	Wd Sdng	Wd Sdng	None	1	1	GasA	2	0	FuseA	1	0	0	5	5	0	61000
376	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	3	6	0	4	4	0	148000
377	5	CompShg	CemntBd	CmentBd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	340000
378	2	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	394432
379	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	179000
380	6	CompShg	BrkFace	Wd Sdng	None	3	4	GasA	4	1	SBrkr	2	6	1	4	4	0	127000
381	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	187750
382	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	213500
383	3	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	0	FuseA	3	6	0	1	1	0	76000
384	5	CompShg	HdBoard	HdBoard	None	2	4	GasA	0	1	SBrkr	2	6	2	4	4	0	240000
385	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	192000
386	3	CompShg	Wd Sdng	VinylSd	None	3	1	GasA	4	1	SBrkr	3	6	0	5	5	0	81000
387	6	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	125000
388	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	191000
389	5	CompShg	VinylSd	VinylSd	Stone	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	426000
390	8	CompShg	MetalSd	MetalSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	119000
391	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	215000
392	7	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	106500
393	5	CompShg	WdShing	Wd Shng	None	3	4	GasA	4	1	FuseA	3	6	2	5	5	0	100000
394	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	FuseA	3	6	0	4	4	0	109000
395	6	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	129000
396	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	123000
397	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	169500
398	2	CompShg	MetalSd	MetalSd	None	3	1	GasA	2	1	Mix	3	1	0	3	3	0	67000
399	5	CompShg	CemntBd	CmentBd	Stone	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	241000
400	5	CompShg	BrkFace	BrkFace	None	2	4	GasA	0	1	SBrkr	0	6	2	4	4	0	245500
401	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	164990
402	8	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	108000
403	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	258000
404	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	168000
405	4	CompShg	Plywood	Plywood	None	3	4	GasA	0	1	SBrkr	3	2	1	4	4	0	150000
406	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	0	1	FuseA	3	1	0	4	4	0	115000
407	7	CompShg	Wd Sdng	Plywood	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	177000
408	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	280000
409	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	0	6	1	4	4	0	339750
410	3	CompShg	BrkComm	Brk Cmn	None	3	1	GasA	4	1	FuseA	3	4	0	4	4	0	60000
411	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	4	0	SBrkr	3	6	0	4	4	0	145000
412	5	CompShg	MetalSd	MetalSd	Stone	0	4	GasA	0	1	SBrkr	2	6	1	4	4	0	222000
413	6	CompShg	WdShing	Wd Shng	None	3	4	GasA	2	1	FuseA	3	6	1	4	4	0	115000
414	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	228000
415	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	181134
416	7	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	149500
417	6	CompShg	Wd Sdng	Stucco	None	3	4	GasW	4	0	FuseA	3	6	1	4	4	0	239000
418	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	1	0	FuseF	3	6	0	4	4	0	126000
419	6	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	142000
420	5	CompShg	VinylSd	VinylSd	BrkFace	3	2	GasA	0	1	SBrkr	3	6	0	4	4	0	206300
421	7	CompShg	CemntBd	CmentBd	Stone	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	215000
422	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	FuseA	3	6	0	4	4	0	113000
423	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	315000
424	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	2	1	FuseA	3	6	1	4	4	0	139000
425	8	CompShg	HdBoard	HdBoard	None	3	2	GasA	2	1	SBrkr	3	6	2	4	4	0	135000
426	5	CompShg	Wd Sdng	Wd Sdng	BrkFace	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	275000
427	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	109008
428	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	195400
429	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	2	6	1	4	4	0	175000
430	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	85400
431	7	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	3	6	0	5	5	0	79900
432	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	0	1	SBrkr	3	2	0	4	4	0	122500
433	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	181000
434	7	CompShg	CemntBd	CmentBd	None	3	2	GasA	2	1	SBrkr	3	6	0	5	5	0	81000
435	6	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	212000
436	8	CompShg	Stucco	Stucco	None	3	4	GasA	4	1	FuseA	3	6	0	4	4	0	116000
437	7	CompShg	Wd Sdng	Wd Sdng	None	2	4	GasA	2	1	SBrkr	3	6	0	4	4	0	119000
438	6	CompShg	WdShing	Stucco	None	3	4	GasA	4	0	SBrkr	2	6	1	2	4	0	90350
439	8	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	2	1	SBrkr	2	6	0	4	4	0	110000
440	5	CompShg	VinylSd	VinylSd	Stone	0	4	GasA	0	1	SBrkr	0	6	2	4	4	0	555000
441	4	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	4	0	FuseF	1	6	0	5	5	0	118000
442	7	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	162900
443	5	CompShg	WdShing	Wd Shng	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	172500
444	5	CompShg	VinylSd	VinylSd	None	2	2	GasA	0	1	SBrkr	2	6	1	4	4	0	210000
445	5	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	1	1	SBrkr	3	6	1	4	4	0	127500
446	6	CompShg	BrkFace	Plywood	None	2	4	GasA	0	1	SBrkr	2	4	1	4	4	0	190000
447	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	2	1	SBrkr	2	6	1	4	4	0	199900
448	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	119500
449	7	CompShg	MetalSd	MetalSd	None	3	2	GasA	0	1	SBrkr	3	6	0	4	4	0	120000
450	8	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	FuseA	2	6	0	1	1	0	110000
451	5	WdShngl	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	2	6	2	4	4	0	280000
452	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	3	6	0	4	4	0	204000
453	5	CompShg	VinylSd	VinylSd	None	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	210000
454	5	CompShg	Plywood	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	188000
455	6	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	1	1	SBrkr	3	6	1	4	4	0	175500
456	5	CompShg	AsbShng	AsbShng	None	3	4	GasA	1	0	SBrkr	3	6	0	1	1	0	98000
457	6	Tar&Grv	Plywood	Plywood	None	3	4	GasA	0	1	SBrkr	2	2	2	4	4	0	256000
458	7	CompShg	Stucco	Wd Shng	None	3	2	GasA	1	1	SBrkr	2	6	1	4	4	0	161000
459	4	CompShg	MetalSd	MetalSd	BrkCmn	3	4	GasA	4	1	SBrkr	2	6	1	4	4	0	110000
460	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	3	6	0	4	4	0	263435
461	9	CompShg	Wd Sdng	Wd Sdng	None	2	2	GasA	0	1	SBrkr	2	6	0	4	4	0	155000
462	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	2	1	SBrkr	3	6	1	4	4	0	62383
463	7	CompShg	Stucco	Stucco	None	3	4	GasA	1	1	FuseA	3	6	1	4	4	0	188700
464	5	CompShg	HdBoard	HdBoard	BrkFace	3	4	GasA	4	1	SBrkr	3	6	0	5	5	0	124000
465	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	178740
466	5	Tar&Grv	Plywood	Plywood	None	3	2	GasA	4	1	SBrkr	3	6	1	4	4	0	167000
467	7	CompShg	MetalSd	MetalSd	Stone	3	4	GasA	0	1	SBrkr	2	6	2	4	4	0	146500
468	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	250000
469	5	CompShg	HdBoard	HdBoard	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	187000
470	5	CompShg	HdBoard	HdBoard	None	2	4	GasA	4	1	SBrkr	2	6	0	4	4	0	212000
471	6	WdShake	WdShing	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	190000
472	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	148000
473	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	440000
474	5	CompShg	CemntBd	CmentBd	None	2	4	GasA	0	1	SBrkr	0	6	0	4	4	0	251000
475	6	CompShg	HdBoard	HdBoard	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	132500
476	5	CompShg	VinylSd	VinylSd	BrkFace	3	4	GasA	0	1	SBrkr	2	6	1	4	4	0	208900
477	5	CompShg	VinylSd	VinylSd	BrkFace	0	4	GasA	0	1	SBrkr	0	6	1	4	4	0	380000
478	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	297000
479	7	CompShg	Stucco	Stucco	BrkCmn	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	89471
480	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	326000
